#|num|weight|mean|covariance matrix|
|0|2632.52719723|106.100795338 5.89901395002 177.224824916|24.2221236073 -0.127061621241 -3.05088091194 -0.127061621241 47.0667159779 24.4711112004 -3.05088091194 24.4711112004 29.6583788746|
|1|2577.27095339|106.809205208 -2.60096017641 160.428137053|12.5545283292 -16.7675167679 -6.86313579771 -16.7675167679 65.6719506653 23.6880953937 -6.86313579771 23.6880953937 36.7534797437|
|2|7713.66626919|91.7753409782 4.22265664341 170.939318851|26.0309296486 -0.208234822016 10.1740065444 -0.208234822016 79.3912191893 -108.570008568 10.1740065444 -108.570008568 233.759312975|
|3|6441.74977891|99.4150839945 -10.2827692649 193.878842825|31.9578833591 -11.2765942921 -22.6578406514 -11.2765942921 63.0290118542 25.9235068528 -22.6578406514 25.9235068528 79.2589452911|
|4|4820.97962917|102.236641622 10.261717224 142.273209643|48.9199366991 -14.951390498 15.1813670693 -14.951390498 41.446589587 -27.9262373328 15.1813670693 -27.9262373328 51.4856537284|
|5|7376.96608765|95.6202442944 -9.76805709393 167.693224599|35.7841516355 -4.78415953591 -12.4234153116 -4.78415953591 54.5881103937 -55.6695055038 -12.4234153116 -55.6695055038 156.911382275|
|6|956.721582652|98.153126553 -9.7462498917 220.681179074|15.7127195243 -20.315491618 17.1245517171 -20.315491618 42.4990374025 -35.4239054358 17.1245517171 -35.4239054358 36.7728679703|
|7|1915.17870181|121.342961259 18.8813863739 138.300840227|95.3696427611 8.4843732007 7.81215418526 8.4843732007 10.8516106019 0.44430428612 7.81215418526 0.44430428612 8.96926220971|
