#|num|weight|mean|covariance matrix|
|0|2041.23988701|112.918442203 36.1506564545 177.532892055|23.5367574283 -4.94780706778 2.39712696455 -4.94780706778 37.6103510074 -0.744154181793 2.39712696455 -0.744154181793 12.5020793507|
|1|2448.6218466|120.017333155 50.6455218082 178.007669169|19.2244850774 -0.268164228507 -23.6519119262 -0.268164228507 24.5766841498 -4.75149842766 -23.6519119262 -4.75149842766 59.1059291443|
|2|1468.7073577|119.406039277 45.2280050749 141.262203349|45.2281769013 19.7897348676 21.8237863779 19.7897348676 23.863130856 14.9394471424 21.8237863779 14.9394471424 19.6902494988|
|3|2872.08760849|109.24959294 41.5622458376 157.891695442|30.1716119173 -6.95413442126 -29.4060059238 -6.95413442126 16.5752441945 -11.4853608877 -29.4060059238 -11.4853608877 104.440906585|
|4|1659.37680248|106.016091113 57.9166004116 187.674954333|14.1088653652 -2.95808175539 2.40948993868 -2.95808175539 14.0682880244 -1.24324676963 2.40948993868 -1.24324676963 28.6496774377|
|5|1546.26591753|102.079274101 51.8528850622 199.751149987|23.9796956414 -18.3534190775 11.107232218 -18.3534190775 32.1334210374 -13.3197065255 11.107232218 -13.3197065255 13.8407948013|
|6|3538.00864126|112.467877003 51.4788119392 165.573889091|47.5194055405 0.745309360829 -43.4081853347 0.745309360829 10.8914397989 -7.9517706698 -43.4081853347 -7.9517706698 100.860517191|
|7|2900.89467563|101.415982693 44.4179129914 190.675184749|43.767480792 -1.26099754228 12.3008630873 -1.26099754228 17.6776307559 -4.56068345594 12.3008630873 -4.56068345594 28.2915804585|
|8|1522.11205424|108.748354258 36.3719637339 146.20175352|13.1331841179 2.39948310862 -11.8326054775 2.39948310862 10.7089436403 -11.319995954 -11.8326054775 -11.319995954 52.4293719546|
|9|1297.01938674|91.9224123413 52.9103569817 184.228292429|20.9402129439 9.85773789861 -2.76652417329 9.85773789861 11.7736046321 -6.04020844482 -2.76652417329 -6.04020844482 26.6246336938|
|10|2109.90189902|98.8986294733 49.0162954646 171.105645376|11.4176695604 -5.67317181776 -7.24775671134 -5.67317181776 39.511471264 0.24859989683 -7.24775671134 0.24859989683 41.0107103262|
|11|1263.18942725|107.593563334 61.5426146606 171.199285213|37.13015455 0.163237574253 -22.2152334121 0.163237574253 7.27594994579 0.925795406831 -22.2152334121 0.925795406831 22.4018543926|
|12|2024.76869605|119.553667535 43.4869639318 162.988684593|21.4439875343 10.427282046 -4.14530372883 10.427282046 18.6307585289 -9.61534833256 -4.14530372883 -9.61534833256 62.7735348992|
