#|num|weight|mean|covariance matrix|
|0|3044.23622487|103.764340905 2.21025987198 171.342415406|17.7044718393 6.13933188531 -50.513171923 6.13933188531 24.4322109591 -33.7726032408 -50.513171923 -33.7726032408 293.077622169|
|1|1009.9999704|94.3948048426 17.9696206775 133.930785857|15.6533873864 -9.60002641471 9.77216635716 -9.60002641471 17.0469844376 -7.99355590631 9.77216635716 -7.99355590631 16.2437503654|
|2|1823.34811488|97.1431671597 -5.8573511539 202.697681596|16.4620076271 -3.64321879021 -1.45230183746 -3.64321879021 55.1579189342 -7.01343015644 -1.45230183746 -7.01343015644 10.4556489159|
|3|1590.02329421|108.625484113 -8.45957601473 160.80617637|8.23764623471 -1.48714510818 -5.32181934967 -1.48714510818 24.852532478 21.732188996 -5.32181934967 21.732188996 44.8171972989|
|4|912.26347315|87.6492729592 14.8661437922 156.601145041|24.140371991 8.92484573105 5.87956594428 8.92484573105 14.5646281239 -0.258671465381 5.87956594428 -0.258671465381 8.1049186762|
|5|1761.87977356|109.15950539 10.4167326574 143.482923052|29.2455830783 -3.03943628378 -5.40960957203 -3.03943628378 40.7174847151 -15.7697857589 -5.40960957203 -15.7697857589 21.7198708385|
|6|1096.18336974|97.4540384065 -8.21261064263 218.949476752|17.6027516958 -23.2743562852 21.6669709562 -23.2743562852 50.5490869759 -45.6967918384 21.6669709562 -45.6967918384 49.3346726639|
|7|1727.99569565|122.488419768 19.312621147 137.804621282|104.458056182 7.57953615047 13.119068185 7.57953615047 8.36918844163 1.39748004099 13.119068185 1.39748004099 9.83167809375|
|8|1507.16837076|94.4151284089 7.23727342232 144.279248541|12.7226090966 -12.2730758005 -12.9203548655 -12.2730758005 55.3536140022 28.7449114734 -12.9203548655 28.7449114734 38.743850682|
|9|4096.43587605|100.726364687 -13.3493408021 188.355018889|31.4405533069 -2.86578103299 -6.42558258287 -2.86578103299 31.8949577241 -2.09884807088 -6.42558258287 -2.09884807088 49.9020438024|
|10|2994.73317675|94.3887480824 -13.3343839398 173.754916625|44.5502314314 -23.0545373725 23.9953691013 -23.0545373725 50.1276714722 -38.2443619422 23.9953691013 -38.2443619422 43.3545187419|
|11|3184.66895297|93.1372476571 7.33516627811 170.627068697|25.2042255393 4.9737280835 9.81640997254 4.9737280835 15.0354975798 -19.9095831896 9.81640997254 -19.9095831896 106.948339567|
|12|2453.38878088|88.7794294698 -6.46378882939 186.47534503|11.7462469465 -1.21883241322 14.5525076987 -1.21883241322 29.7849776704 -45.7603784477 14.5525076987 -45.7603784477 144.73765051|
|13|1489.11067964|108.030416689 8.57201131813 178.653675182|17.7709672815 -8.23298004546 -6.23846739403 -8.23298004546 36.6107708362 18.7606403459 -6.23846739403 18.7606403459 23.6584370318|
|14|2285.19592389|99.5357730712 -9.57914324034 159.39363266|18.7624689445 14.1031849093 -13.5650865903 14.1031849093 49.2159359474 -46.2627210874 -13.5650865903 -46.2627210874 58.9594884729|
|15|3458.42852261|97.0951278276 3.27143030821 159.207878499|21.9795314083 21.8705262299 -32.4082287087 21.8705262299 63.1488066123 -100.748970726 -32.4082287087 -100.748970726 234.341730959|
